experiment,spatial_block,kernel,n_cells,MSE,RMSE,weighted_squared_error_sum
gridded_monthly_RL50,9,Matern,8,5.494960983706125,2.344133311846006,43.959687869649
gridded_monthly_RL100,0,RBF,12,4.971615281209751,2.229711927852957,59.65938337451701
gridded_monthly_RL100,1,RBF,12,1.0012335338550071,1.0006165768440012,12.014802406260085
gridded_monthly_RL100,2,RBF,12,0.4850212108528343,0.6964346421975535,5.820254530234012
gridded_monthly_RL100,3,RBF,9,12.570523129713187,3.545493354910313,113.13470816741868
gridded_monthly_RL100,4,RBF,8,24.28538587390875,4.928020482293956,194.28308699127
gridded_monthly_RL100,5,RBF,10,0.7000348270615848,0.8366808394253957,7.000348270615848
gridded_monthly_RL100,6,RBF,11,10.070575377731139,3.1734169876855356,110.77632915504252
gridded_monthly_RL100,7,RBF,9,1.0285900676579987,1.0141942948261928,9.257310608921987
gridded_monthly_RL100,8,RBF,9,7.8458212657666975,2.80103931885411,70.61239139190027
gridded_monthly_RL100,9,RBF,8,11.093821133866669,3.330738827027221,88.75056907093335
gridded_monthly_RL100,0,Matern,12,6.367152854033505,2.52332178963237,76.40583424840206
gridded_monthly_RL100,1,Matern,12,0.5005615195509195,0.7075037240544529,6.006738234611035
gridded_monthly_RL100,2,Matern,12,0.3351579321640985,0.5789282616733256,4.021895185969182
gridded_monthly_RL100,3,Matern,9,5.011605434483819,2.2386615274497883,45.10444891035437
gridded_monthly_RL100,4,Matern,8,17.980103607682718,4.240295226476892,143.84082886146174
gridded_monthly_RL100,5,Matern,10,0.5887158701967475,0.7672782221572222,5.887158701967476
gridded_monthly_RL100,6,Matern,11,8.191624790602214,2.86210146406486,90.10787269662436
gridded_monthly_RL100,7,Matern,9,1.8437218626034648,1.3578372003312713,16.593496763431183
gridded_monthly_RL100,8,Matern,9,6.735518875515272,2.5952878213245003,60.61966987963745
gridded_monthly_RL100,9,Matern,8,7.865055767497422,2.8044706751002804,62.920446139979376
