"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",5.08333333333333,51,1.98055173337764,1.60211483071329,0.152250548613424
"mu",5.08333333333333,52,2.17213311054537,1.78044312319033,0.171898904541293
"mu",5.08333333333333,53,2.29065163788421,1.7695299867067,0.150524561325147
"mu",5.08333333333333,54,2.10593352357608,1.67976426950872,0.157525074173937
"mu",5.08333333333333,55,2.20957712127317,1.75997391040456,0.15443311322383
"mu",5.08333333333333,56,2.17279669167915,1.70240136062392,0.143892872991287
"mu",5.08333333333333,57,2.18422575013562,1.74762973878743,0.163926467799252
"mu",5.08333333333333,58,2.13390547247824,1.64170396049226,0.143341405436262
"mu",5.08333333333333,59,2.11789989327964,1.69448824908095,0.16502277733737
"mu",5.08333333333333,60,2.08964209956503,1.71082642246392,0.173299209632961
"mu",5.08333333333333,61,2.29321389584145,1.80377887173372,0.159022112922554
"mu",5.08333333333333,62,2.16031539811138,1.69851133210884,0.1475961808629
"mu",5.08333333333333,63,2.27172477183996,1.81178201552206,0.166976309980356
"mu",5.08333333333333,64,2.21555310822218,1.7077878592067,0.147426059755096
"mu",5.08333333333333,65,2.12264754217261,1.67716209912697,0.166488540732366
"mu",5.08333333333333,66,2.17958185257752,1.72511481728561,0.157898212303206
"mu",5.08333333333333,67,2.37292937344429,1.92029106866647,0.153729013366352
"mu",5.08333333333333,68,2.1836047323166,1.75108067432101,0.151965476458017
"mu",5.08333333333333,69,2.2125530277402,1.75381147951519,0.155167755333758
"mu",5.08333333333333,70,2.28109265475508,1.79192481976811,0.146550063232092
"mu",5.08333333333333,71,1.97330874375891,1.59810757556696,0.174428378455002
"mu",5.08333333333333,72,2.15052662611559,1.66326040484676,0.140460052293435
"mu",5.08333333333333,73,2.3289393923464,1.8900814625618,0.163897236818193
"mu",5.08333333333333,74,2.08631509607955,1.61988803979034,0.154650875370696
"mu",5.08333333333333,75,2.16325481591742,1.82508300584067,0.172460539412106
"mu",5.08333333333333,76,2.16749822229599,1.71460359797926,0.165156741130382
"mu",5.08333333333333,77,2.16358400871053,1.62800691113324,0.140540898910799
"mu",5.08333333333333,78,2.23209118483363,1.75609815527352,0.157182246928963
"mu",5.08333333333333,79,2.028847749799,1.5840860911499,0.151032495078967
"mu",5.08333333333333,80,2.18260834753048,1.77623465712809,0.142307137275075
"mu",5.08333333333333,81,2.33439527780869,1.84174923034063,0.145251811606844
"mu",5.08333333333333,82,2.01874758230375,1.63418103817012,0.164946492505939
"mu",5.08333333333333,83,2.17938383435108,1.78496771903318,0.172261989659583
"mu",5.08333333333333,84,2.03904765781376,1.64233501735488,0.166620759521137
"mu",5.08333333333333,85,2.0011293489109,1.61883401668925,0.155984432560625
"mu",5.08333333333333,86,2.26885326686101,1.76561136877897,0.159094212790946
"mu",5.08333333333333,87,2.32486103183858,1.75760705326065,0.144687871342218
"mu",5.08333333333333,88,2.1617747319249,1.77203063021938,0.161717983580323
"mu",5.08333333333333,89,2.2913473010567,1.76295778286121,0.154928107704849
"mu",5.08333333333333,90,2.17859394305624,1.79878119212051,0.18023664913923
"mu",5.08333333333333,91,2.10867209198284,1.76147010302879,0.170241596851493
"mu",5.08333333333333,92,2.21471793591112,1.732493178568,0.150343358910129
"mu",5.08333333333333,93,2.07023295889339,1.62161253410608,0.146839076032305
"mu",5.08333333333333,94,2.30389452611366,1.79905873264966,0.139837301048618
"mu",5.08333333333333,95,2.27432127239156,1.85342853653954,0.169052341672686
"mu",5.08333333333333,96,2.1703551716768,1.75507049654523,0.162690426788521
"mu",5.08333333333333,97,2.09627833253134,1.62197833371114,0.150145188095033
"mu",5.08333333333333,98,2.25254261232469,1.79914526199475,0.157323371041107
"mu",5.08333333333333,99,2.12333394506984,1.70414603773361,0.159222254208918
"mu",7.125,0,2.08609107800717,1.65287438218815,0.161641635654718
"mu",7.125,1,2.16072977887024,1.63139810915356,0.132077501996779
"mu",7.125,2,2.1684024105182,1.77597843825206,0.15667582520051
