panel,true_value,rep,nn_width_mu,nn_width_sigma,nn_width_xi
mu,3.0416666666666665,96,2.2672884890576652,1.9901707799128108,0.16036438010632992
mu,3.0416666666666665,97,2.1223404184439274,2.029929222714225,0.1738339938223362
mu,3.0416666666666665,98,2.223675525336203,2.0685693151531375,0.16158686652779575
mu,3.0416666666666665,99,2.2966394675880855,2.2237816357228724,0.17655578851699827
mu,5.083333333333333,0,2.3110751327004913,1.8978681918611073,0.1713074043393135
mu,5.083333333333333,1,2.469362760255743,2.2533661051758145,0.17046110704541204
mu,5.083333333333333,2,2.1571240257273168,1.9267416315721828,0.1670955430716276
mu,5.083333333333333,3,2.438355453856209,2.10484918389011,0.17013459876179693
mu,5.083333333333333,4,2.204196305897352,2.0703003614774467,0.17202314287424086
mu,5.083333333333333,5,2.3466117716075074,2.1830954145127155,0.18398592956364151
mu,5.083333333333333,6,2.09035278610581,1.8626157383459585,0.15846840813755986
mu,5.083333333333333,7,2.241259812026244,1.8946475151995834,0.17076020091772082
mu,5.083333333333333,8,2.3569550786755666,2.0860439984828574,0.15895132496953004
mu,5.083333333333333,9,2.3373060511183663,2.3062163247282896,0.1629662334918975
mu,5.083333333333333,10,2.2648518348720748,2.1929616483589616,0.17058710679411884
mu,5.083333333333333,11,2.298623639937249,2.004428723775211,0.16512485593557358
mu,5.083333333333333,12,2.2377733629885483,2.0094503614212513,0.16555494666099546
mu,5.083333333333333,13,2.498713619962521,2.367216186886745,0.17161596417427055
mu,5.083333333333333,14,2.283453589869101,1.8909799470800106,0.1692172959446907
mu,5.083333333333333,15,2.2517824475029693,2.0602348869335056,0.16308884322643277
mu,5.083333333333333,16,2.2682083737052077,2.1721030980677103,0.16870862916111942
mu,5.083333333333333,17,2.275249050705505,2.077289605996233,0.15664260536432262
mu,5.083333333333333,18,2.511130424368673,2.190950475935063,0.15867371931672097
mu,5.083333333333333,19,2.5975484134213573,2.362014701582181,0.16359968930482863
mu,5.083333333333333,20,2.0900911497444583,1.7931191125468313,0.1738562852144241
